_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
566088,135018,CHA & CHA FINANCE LTD.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,16-AUG-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,458639,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
647724,233325,Intervest Financial Corporation,,,XXX,Undetermined,,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,16-DEC-1994,,,01-MAY-1998,Dead,Commonwealth Trust Limited,,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
657198,167789,Leung Tai Chiu,,,COOK,Cook Islands,,,,22-APR-1996,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,0,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
630922,200562,C.M.S. Ventures Inc.,,,XXX,Undetermined,Standard Company under IBC Act,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,08-MAY-2002,,,01-NOV-2003,Dead,Commonwealth Trust Limited,494968,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
566090,135027,ASIA ORBIT LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,17-AUG-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,458873,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
574456,135031,CHALLENGE ON-LINE LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,21-AUG-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,459171,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
615159,200569,"Amat Finance, Ltd.",,,XXX,Undetermined,Standard Company under IBC Act,G.S.L. Law & Consulting SHIPPING ADDRESS: Russian Federation Billing/Invoice address ONLY: 29A Anna Komnini Street P.O. Box 22303 1520 Nicosia Cyprus,,02-JUL-2002,,,01-MAY-2006,Dead,Commonwealth Trust Limited,501595,RUS;XXX,Russia;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
626884,200572,"Bernside Financial, Ltd.",,,XXX,Undetermined,Standard Company under IBC Act,G.S.L. Law & Consulting SHIPPING ADDRESS: Russian Federation Billing/Invoice address ONLY: 29A Anna Komnini Street P.O. Box 22303 1520 Nicosia Cyprus,,02-JUL-2002,,,,Active,Commonwealth Trust Limited,501565,RUS;VGB,Russia;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
595199,167817,Tapa Investments Limited,,,COOK,Cook Islands,Standard International Company,,,15-JUL-1992,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,0,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
615254,200595,Metropolitan Commercial Holdings Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"Kuzniecky & Co. Banco General Building, 21st Floor Aquilino de la Guardia Street Panama City Republic of Panama P.O.Box 0831-01450  RT BVI",,10-JUN-2002,,,01-NOV-2009,Dead,Commonwealth Trust Limited,499213,PAN;VGB,Panama;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
652483,233365,International Business Company Formation Inc.,,,XXX,Undetermined,Sundry Account,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,,,,,,Commonwealth Trust Limited,,XXX;USA,Not identified;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,This is not an offshore entity even though it was logged as such in original database ICIJ received. It isi an internal account created by the agent to record miscellaneous charges of an officer or intermediary
606261,167832,Holix Investment and Development Limited,,,COOK,Cook Islands,Standard International Company,,,29-SEP-1992,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,0,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
602623,167836,Lippo Investments (Cook Islands) Limited,,,COOK,Cook Islands,Standard International Company,,,30-OCT-1992,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,251892,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
